Category,Overheads
Salary Expense,39.95
Interest Expense ,1.18
Marketing Expense,2.28
Rental Expense,25.05
Overflow Expense - Retail,0.56
Overflow Expense - Warehouse,0.37
Penalty Expense,10.73
Depreciation Expense,3.54
Shipping Expense,0.84
Human Resource Expense,15.49
